Methanococcus maripaludis Jones et al. (ATCC BAA-1333),$550.00,$467.50,unavailable,C5,1,frozen,ATCC  1439: Methanogenium medium,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",unavailable,unavailable
Methanococcus maripaludis Jones et al. (ATCC BAA-1332),$550.00,$467.50,unavailable,C6,1,freeze-dried,ATCC  1439: Methanogenium medium,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",unavailable,unavailable
Marichromatium bheemlicum (ATCC BAA-1316),$550.00,$467.50,unavailable,JA124,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Haladaptatus paucihalophilus Savage et al. (ATCC BAA-1313),$550.00,$467.50,unavailable,DX253,1,freeze-dried,ATCC  2622:,Temperature: 30.0Celsius,unavailable,unavailable
Haloterrigena hispanica Romano et al. (ATCC BAA-1310),$550.00,$467.50,unavailable,FP1,1,freeze-dried,ATCC  2634: Haloterrigena,"Atmosphere: air, 100%Temperature: 50.0Celsius",unavailable,unavailable
Halomonas sp. (ATCC BAA-1308),$550.00,$467.50,unavailable,ALO SHARM,1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 37.0Celsius,unavailable,unavailable
Telmatospirillum siberiense (ATCC BAA-1307),$550.00,$467.50,unavailable,K-1,1,frozen,ATCC  2644: Telmatospirillum,Temperature: 28.0Celsius Atmosphere:  Anaerobic; 80% N2-20% CO2,unavailable,unavailable
Telmatospirillum siberiense (ATCC BAA-1306),$550.00,$467.50,unavailable,26-2,1,frozen,ATCC  2644: Telmatospirillum,Temperature: 28Celsius Atmosphere:  Anaerobic; 80% N2-20% CO2,unavailable,unavailable
Telmatospirillum siberiense (ATCC BAA-1305),$550.00,$467.50,unavailable,26-4b1,1,frozen,ATCC  2644: Telmatospirillum,Temperature: 28.0Celsius Atmosphere: Anaerobic; 80% N2-20% CO2,unavailable,unavailable
Janibacter terrae Yoon et al. (ATCC BAA-130),$550.00,$467.50,unavailable,"JCM 10705 [CIP 107018, CS12, DSM 13876, KCCM 80001]",1,freeze-dried,"ATCC  3: Nutrient agar or nutrient broth
ATCC  3: Nutrient agar or nutrient broth
ATCC  44: Brain Heart Infusion Agar/Broth",Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Methanococcus aeolicus (ATCC BAA-1280),$550.00,$467.50,unavailable,Nankai-3,1,frozen,ATCC  1439: Methanogenium medium,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",unavailable,unavailable
Rhodobium gokarnense (ATCC BAA-1275),$550.00,$467.50,unavailable,JA173,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,unavailable,unavailable
Rhodovulum visakhapatnamense Srinivas et al. (ATCC BAA-1274),$550.00,$467.50,unavailable,JA181,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,unavailable,unavailable
Rhodovulum imhoffii (ATCC BAA-1273),"For-Profit:
$376.00",,unavailable,JA125,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,unavailable,unavailable
Caldalkalibacillus uzonensis Zhao et al. (ATCC BAA-1258),$550.00,$467.50,unavailable,JW/WZ-YB58,1,freeze-dried,ATCC  2636: Thermalkalibacillus uzonensis,Temperature: 50.0Celsius,unavailable,unavailable
Halomonas sp. (ATCC BAA-1257),$550.00,$467.50,unavailable,BH1,1,freeze-dried,ATCC  1097: Halomonas medium,"Atmosphere: air, 100%Temperature: 30.0Celsius",unavailable,unavailable
Methylobacterium sp. (ATCC BAA-1243),$550.00,$467.50,unavailable,2g,1,freeze-dried,"ATCC  2157: Methylocella medium
ATCC  18: Trypticase Soy Agar/Broth","Temperature: 26Celsius 
Atmosphere: 50% methane, 50% air (aerobic, see notes)",unavailable,unavailable
Desulfovibrio carbinoliphilus (ATCC BAA-1241),$550.00,$467.50,unavailable,D41,1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius",unavailable,unavailable
Spirochaeta coccoides (ATCC BAA-1237),$550.00,$467.50,unavailable,SPN1,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Methylibium petroleiphilum (ATCC BAA-1232),$550.00,$467.50,seqeunce available,PM1,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Halobacillus blutaparonensis (ATCC BAA-1217),$550.00,$467.50,unavailable,M9,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller","Temperature: 30.0Celsius 
Atmosphere:  Aerobic",2Celsius  to 8Celsius,unavailable
Psychrobacter cryohalolentis (ATCC BAA-1226),$550.00,$467.50,seqeunce available,K5,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 20Celsius  to 23Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Propionicicella superfundia (ATCC BAA-1218),$550.00,$467.50,unavailable,BL-10,1,freeze-dried,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius",unavailable,unavailable
Methylocystis rosea (ATCC BAA-1196),$550.00,$467.50,unavailable,SV97,1,freeze-dried,ATCC  1306: Nitrate mineral salts medium (NMS),"Temperature: 26Celsius Atmosphere: 50% methane, 50% air",unavailable,unavailable
Methylobacter tundripaludum (ATCC BAA-1195),$550.00,$467.50,unavailable,SV96,1,freeze-dried,ATCC  1306: Nitrate mineral salts medium (NMS),"Temperature: 22Celsius 
Atmosphere: 50% methane, 50% air",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Methanomethylovorans thermophila (ATCC BAA-1173),$550.00,$467.50,unavailable,L2FAW,1,frozen,Methanomethylovorans thermophila,Temperature: 50.0Celsius Atmosphere: Anaerobic gas mixture; 80% N2 - 20% CO2 (5 PSI) or 80% H2 - 20% CO2 (20 PSI),-80Celsius  or colder,unavailable
Methanocalculus chunghsingensis (ATCC BAA-1172),$550.00,$467.50,unavailable,K1F9705c [OCM 666],1,frozen,ATCC  2601: Methanocalculus  chunghsingensis,"Temperature: 37.0Celsius 
  Atmosphere:  Anaerobic gas mixture - 80% N2 – 20% CO2 (5 PSI) or 80% H2 – 20% CO2 (20 PSI)",-80Celsius  or colder,unavailable
Methanofollis liminatans (ATCC BAA-1165),$550.00,$467.50,unavailable,"GKZPZ [DSM 4140, OCM 240]",1,frozen,ATCC  2551: MG-OCM  + 50mM Formate,"Temperature: 37Celsius 
Atmosphere: 80% N2-20% CO2 (5 PSI) or 80% H2-20% CO2 (20 PSI)",-80Celsius  or colder,unavailable
Thermus abaniensis (ATCC BAA-1164),$550.00,$467.50,unavailable,A.A./04 [A.A./04],1,freeze-dried,unavailable,Temperature: 70.0Celsius,unavailable,unavailable
Desulfotomaculum reducens (ATCC BAA-1160),$550.00,$467.50,unavailable,MI-1,1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,"Reduces chromium, Cr(IV)Reduces iron (ferric, FeIII) ferric ironReduces manganese, Mn(IV)Reduces uranium, U(VI)"
Sulfitobacter sp. (ATCC BAA-1157),$550.00,$467.50,seqeunce available,NAS-14.1,1,freeze-dried,ATCC  2613: Sulfitobacter medium,Temperature: 26Celsius  Atmosphere: Aerobic,unavailable,unavailable
Desulfobacter psychrotolerans (ATCC BAA-1150),$550.00,$467.50,unavailable,akvb,1,frozen,unavailable,"Temperature:  5 - 20oC
  Atmosphere:   Anaerobic (80% N2, 20% CO2 or 100% N2)",-80Celsius  or colder,unavailable
Caldicellulosiruptor acetigenus (Nielsen et al.) Onyenwoke et al. (ATCC BAA-1149),$550.00,$467.50,unavailable,X6B [DSM 7040],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Afifella pfennigii (Caumette et al.) Urdiain et al. (ATCC BAA-1145),$550.00,$467.50,unavailable,AR2102,1,frozen,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature 30Celsius Atmosphere: Broth: anaerobic under light 2000-3000 lux; plates: aerobic in the dark,unavailable,unavailable
Geobacter pickeringii (ATCC BAA-1140),$550.00,$467.50,unavailable,G13,1,freeze-dried,ATCC  2635: Desulfuromonas michiganenesis,"Temperature: 30.0Celsius 
Atmosphere:  Anaerobic-80% N2, 20% CO2",2Celsius  to 8Celsius,unavailable
Acidicaldus organivorans (ATCC BAA-1105),$550.00,$467.50,unavailable,Y008,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Deltaproteobacteria sp. (ATCC BAA-1100),$550.00,$467.50,unavailable,MLMS-1,1,frozen,ATCC  2633: Artificial Mono Lake medium,"Temperature: 28Celsius 
Atmosphere: 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Oxidizes sulfideReduces arsenate
Desulfovibrio sp. (ATCC BAA-1095),$550.00,$467.50,unavailable,M2,1,freeze-dried,,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 18.0Celsius",unavailable,unavailable
Thermococcus barossii Duffaud et al. (ATCC BAA-1085),$550.00,$467.50,unavailable,SHCK-94 [JCM 12858],1,freeze-dried,ATCC  1922: Marine agar or marine broth with sulfur,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 80.0Celsius",unavailable,unavailable
Anaerovirgula multivorans Pikuta et al. (ATCC BAA-1084),$550.00,$467.50,unavailable,SCA,1,freeze-dried,ATCC  2311: Spirochaeta americana medium,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 35.0Celsius",unavailable,unavailable
Spirochaeta dissipatitropha Pikuta et al. 2009 (ATCC BAA-1083),$550.00,$467.50,unavailable,ASpC2,1,freeze-dried,ATCC  2311: Spirochaeta americana medium,Temperature: 35.0Celsius Atmosphere: Anaerobic; 80% N2-20% CO2,unavailable,unavailable
Methanofollis tationis (Zabel et al.) Zellner et al. (ATCC BAA-1078),$550.00,$467.50,unavailable,OCM 159 [DSM 2702],1,frozen,unavailable,unavailable,unavailable,unavailable
Methanobacterium palustre Zellner et al. (ATCC BAA-1077),$550.00,$467.50,unavailable,"OCM 238 [DSM 3108, F]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,unavailable,unavailable,unavailable
Methanothermobacter thermophilus (Laurinavichus et al.) Boone (ATCC BAA-1076),$550.00,$467.50,unavailable,"OCM 231 [DSM 6529, M, VKM B-1786]",1,frozen,ATCC  2467: MS - OCM Base,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 55.0Celsius",-80Celsius  or colder,unavailable
Methanobacterium espanolae Patel et al. (ATCC BAA-1073),$550.00,$467.50,unavailable,"OCM 178 [GP9, NRC 5912]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Temperature:  37oC
  Atmosphere:   Anaerobic gas mixture 80%H2 – 20% CO2",-80Celsius  or colder,unavailable
Methanohalobium evestigatum Zhilina and Zavarzin (ATCC BAA-1072),$550.00,$467.50,unavailable,"OCM 161 [DSM 3721, VKM Z-7303]",1,frozen,unavailable,unavailable,unavailable,unavailable
Methanohalophilus halophilus (Zhilina) Wilharm et al. (ATCC BAA-1071),$550.00,$467.50,unavailable,"OCM 160 [DSM 3094, VKM Z-7982]",1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Marinomonas protea (ATCC BAA-1056),$550.00,$467.50,unavailable,196 [NCIMB 41006],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 10.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Thermosediminibacter litoriperuensis Lee et al. (ATCC BAA-1035),$550.00,$467.50,unavailable,JW/YJL-1230-7/2 [DSM 16647],1,freeze-dried,Thermosedimentibacter,Temperature: 65.0Celsius Atmosphere: Anaerobic; 80% N2-20% CO2,unavailable,unavailable
Geobacter bemidjiensis Nevin et al. (ATCC BAA-1014),$550.00,$467.50,unavailable,"Bem [DSM 16622, JCM 12645]",1,frozen,ATCC  1768: Geobacter metallireducens medium,Temperature: 30Celsius Atmosphere: Anaerobic; 80% N2-20% CO2,-80Celsius  or colder,"Reduces iron (ferric, FeIII) ferric iron"
Coumaricibacterium denitrificans (ATCC BAA-1007),$550.00,$467.50,unavailable,4SCVA,1,freeze-dried,Thauera  vanillica medium,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,Utilizes vanillic acid
Thermosediminibacter oceani Lee et al. (ATCC BAA-1034),$550.00,$467.50,unavailable,JW/IW-1228P [DSM 16646],1,freeze-dried,Thermosedimentibacter,Temperature: 65.0Celsius Atmosphere: Anaerobic; 80% N2-20% CO2,unavailable,unavailable
Thiovirga sulfuroxydans Ito et al. (ATCC BAA-1033),$550.00,$467.50,unavailable,SO07 [JCM 12417],1,freeze-dried,ATCC  2504: Thiovirga,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Oxidizes sulfur
Rhodoferax antarcticus Madigan et al. (ATCC BAA-1023),$550.00,$467.50,unavailable,Fryx1,1,frozen,ATCC  2497: Rhodoferax,"Temperature: 20.0Celsius Atmosphere: Aerobic, 25 watt incandescent lamp",unavailable,unavailable
Sideroxydans paludicola (ATCC BAA-1019),$550.00,$467.50,unavailable,BrT,1,frozen,ATCC  7266: Modified Wolfe's Mineral  Gradient Plate,Atmosphere: Microaerophilic (3%-5% O2 - 10% CO2)Temperature: 25.0Celsius,unavailable,Oxidizes iron
Mariprofundus ferrooxydans Emerson et al. (ATCC BAA-1021),$550.00,$467.50,unavailable,JV-1,1,frozen,ATCC  7265: ASW Gradient Plate,Temperature: 25Celsius Atmosphere: Microaerophilic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Sideroxydans ghiorsii (ATCC BAA-1018),$550.00,$467.50,unavailable,LD-1,1,frozen,unavailable,unavailable,unavailable,Oxidizes iron
Sideroxydans paludicola (ATCC BAA-1017),$550.00,$467.50,unavailable,Br-1,1,frozen,ATCC  7266: Modified Wolfe's Mineral  Gradient Plate,Atmosphere: Microaerophilic (3%-5% O2 - 10% CO2)Temperature: 25.0Celsius,unavailable,Oxidizes iron
Ferritrophicum radicicola (ATCC BAA-1016),$550.00,$467.50,unavailable,CCJ,1,frozen,ATCC  7266: Modified Wolfe's Mineral  Gradient Plate,Atmosphere: Microaerophilic (3%-5% O2 - 10% CO2)Temperature: 25.0Celsius,unavailable,Oxidizes iron
Desulfovibrio vulgaris Postgate and Campbell (ATCC 7757),$251.00,$213.35,unavailable,"C-6 [CT1, IFO 13699, NCIB 8372]",1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Assay of antimicrobial preservativesBioresistance testingProduces D(-)-lactate dehydrogenase
Thiomicrospira arctica Knittel et al. (ATCC 700955),$550.00,$467.50,unavailable,SVAL-E,1,freeze-dried,ATCC  2228: Thiomicrospira pelophila medium,Temperature: 15.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
"""Desulfovibrio magneticus"" Sakaguchi et al. (ATCC 700980)",$550.00,$467.50,unavailable,RS-1 [DSM 13731],1,freeze-dried,ATCC  2225: Desulfovibrio magneticus medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Produces magnetiteBiotechnology
Thermus sp. (ATCC 700910),$550.00,$467.50,unavailable,Sa-01,1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 65.0Celsius Atmosphere: Aerobic,unavailable,"Reduces iron (ferric, FeIII) ferric ironBiotechnology"
Rhodovulum iodosum Straub et al. (ATCC 700895),$550.00,$467.50,unavailable,N1,1,freeze-dried,unavailable,"Temperature: 20Celsius  to 26Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Thermus antranikianii Chung et al. (ATCC 700961),$550.00,$467.50,unavailable,HN3-7 [DSM 12462],1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 70.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Thiomicrospira psychrophila Knittel et al. (ATCC 700954),$550.00,$467.50,unavailable,SVAL-D,1,freeze-dried,ATCC  2228: Thiomicrospira pelophila medium,Temperature: 15Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Halobaculum gomorrense Oren et al. (ATCC 700876),$550.00,$467.50,unavailable,"DSM 9297 [DS2807, JCM 9908, W.C. 1-76-1]",1,freeze-dried,ATCC  2169: Halobaculum gomorrense medium,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Halobacterium sp. (ATCC 700922),$550.00,$467.50,seqeunce available,NRC-1 [JCM 11081],1,freeze-dried,ATCC  2185: Halobacterium NRC-1 medium,Temperature: 37Celsius  shakingAtmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Haloarcula mukohataei Ihara et al. (ATCC 700874),$550.00,$467.50,unavailable,"DSM 12286 [JCM 9738, NCIMB 13541, W.C. 1-72-9, arg-2]",1,freeze-dried,unavailable,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Orenia salinaria Moune et al. (ATCC 700911),$550.00,$467.50,unavailable,SG3902,1,freeze-dried,ATCC  2180: Orenia salinaria medium,Temperature: 40.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Halorubrum hochstenium (ATCC 700873),$550.00,$467.50,unavailable,1-13-28,1,freeze-dried,ATCC  2168: Halomonas medium with elevated NaCl,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Thiocapsa litoralis Puchkova et al. (ATCC 700894),$550.00,$467.50,unavailable,BM-5,1,freeze-dried,ATCC  2171: Thiocapsa litoralis medium,Temperature: 26.0Celsius Atmosphere: Anaerobic under light,unavailable,Biotechnology
Rhodovulum robiginosum Straub et al. (ATCC 700896),$550.00,$467.50,unavailable,N2,1,freeze-dried,ATCC  2865: Rhodovulum Iodosum & R. Robiginosum,"Temperature: 26Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Hydrogenophaga pseudoflava (Auling et al.) Willems et al. (ATCC 700892),$550.00,$467.50,unavailable,PALL 6266-34 3X(6569-4),1,frozen,ATCC  2258: R2A medium,Temperature: 26.0Celsius Atmosphere: Aerobic,unavailable,Challenge organism for filter membranes
Thiomicrospira frisia Brinkhoff et al. (ATCC 700878),$550.00,$467.50,unavailable,JB-A2 [DSM 12351],1,freeze-dried,ATCC  1036: Thiomicrospira medium,Temperature: 26.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Thiomicrospira chilensis Brinkhoff et al. (ATCC 700858),$550.00,$467.50,unavailable,"DSM 12352 [Ch-1, Chile-1]",1,freeze-dried,ATCC  2228: Thiomicrospira pelophila medium,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Sulfitobacter mediterraneus Pukall et al. (ATCC 700856),$550.00,$467.50,unavailable,DSM 12244 [CH-B427],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Caldicellulosiruptor kristjanssonii Bredholt et al. (ATCC 700853),$550.00,$467.50,unavailable,DSM 12137 [I77R1B],1,freeze-dried,ATCC  2172: BA medium (DSM 671),Temperature: 70.0Celsius Atmosphere: Anaerobic,unavailable,Degrades celluloseBiotechnology
Hippea maritima Miroshnichenko et al. (ATCC 700847),$550.00,$467.50,unavailable,DSM 10411 [MH2],1,freeze-dried,ATCC  2199: Hippea maritima medium,"Temperature: 55.0Celsius Atmosphere: Under a gas mixture of 80% N2, 20% CO2",unavailable,Reduces sulfur
Fusibacter paucivorans Ravot et al. (ATCC 700852),$550.00,$467.50,unavailable,DSM 12116 [SEBR 4211],1,freeze-dried,ATCC  2190: Fusibacter paucivorans medium,"Temperature: 37.0Celsius Atmosphere: Under a gas mixture of 80% N2, 20% CO2",unavailable,unavailable
Thermaerobacter marianensis Takai et al. (ATCC 700841),$550.00,$467.50,unavailable,"JCM 10246 [7p75a, DSM 12885]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 70.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Biotechnology
Methanocaldococcus vulcanius (Jeanthon et al.) Whitman (ATCC 700851),$550.00,$467.50,unavailable,DSM 12094 [M7],1,frozen,ATCC  2121: Methanococcus jannaschii medium (DSM 282),Temperature: 80.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Haloarcula quadrata Oren et al. (ATCC 700850),$550.00,$467.50,unavailable,DSM 11927 [801030/1],1,freeze-dried,ATCC  2164: Haloarcula quadrata medium,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Methylobacterium zatmanii Green et al. (ATCC 700809),$550.00,$467.50,unavailable,unavailable,2,freeze-dried,ATCC  1099: CYE (Charcoal Yeast Extract) Buffered,Temperature: 37.0Celsius Atmosphere: 5% CO2,unavailable,unavailable
Methanothermobacter thermautotrophicus (Zeikus and Wolfe) Wasserfallen et al. (ATCC 700791),$550.00,$467.50,unavailable,OSU 967 [RC],1,freeze-dried,ATCC  2133: OSU967,"Temperature: 65.0Celsius Atmosphere: Under a gas mixture of 80% H2, 20% CO2",unavailable,Biotechnology
Glaciecola punicea Bowman et al. (ATCC 700756),$550.00,$467.50,unavailable,"ACAM 611 [CIP 105817, IC067]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 10.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Ruegeria pomeroyi (Gonzalez et al.) Yi et al. (ATCC 700808),$550.00,$467.50,seqeunce available,DSS-3 [DSM 15171],1,freeze-dried,ATCC  2138: YTSS medium,Temperature: 28.0Celsius Atmosphere: Aerobic,unavailable,Degrades dimethyl sulfide DMSDegrades dimethylsulfoniopropionate DMSPDegrades methylmercaptan methanethiolOxidizes sulfiteOxidizes thiosulfateBiotechnology
Glaciecola pallidula Bowman et al. (ATCC 700757),$550.00,$467.50,unavailable,"ACAM 615 [CIP 105819, IC079]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 10.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Thauera chlorobenzoica Song et al. (ATCC 700723),$550.00,$467.50,unavailable,3CB-1 [KCTC 12933],1,freeze-dried,ATCC  2120: Modified R2A medium,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,"Degrades 3-chlorobenzoate, 3-bromobenzoate, 3-iodobenzoate and 3-hydroxybenzoate under anoxic, denitrifying conditions"
Methylopila capsulata Doronina et al. (ATCC 700716),$550.00,$467.50,unavailable,IM1 [VKM B-1606],1,freeze-dried,"ATCC  1306: Nitrate mineral salts medium (NMS)
ATCC  1306: Nitrate mineral salts medium (NMS)
ATCC  3: Nutrient agar or nutrient broth",Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Thermococcus gorgonarius Miroshnichenko et al. (ATCC 700654),$550.00,$467.50,unavailable,DSM 10395 [W-12],1,frozen,ATCC  2104: Marine Thermococcus medium,Temperature: 85.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Desulfobulbus rhabdoformis Lien et al. (ATCC 700652),$550.00,$467.50,unavailable,DSM 8777 [M16],1,freeze-dried,ATCC  2105: Desulfobulbus rhabdoformis medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Reduces sulfateBiotechnology
Desulfotomaculum halophilum Tardy-Jacquenod et al. (ATCC 700650),$550.00,$467.50,unavailable,DSM 11559 [SEBR 3139],1,freeze-dried,ATCC  2118: Desulfotomaculum halophilum medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Reduces sulfateBiotechnology
Ammoniphilus oxalaticus Zaitsev et al. (ATCC 700649),$550.00,$467.50,unavailable,"DSM 11538 [HAMBI 2283, RAOx-1]",1,freeze-dried,ATCC  2103: OM2 medium,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Metabolizes oxalateBiotechnology
Ammoniphilus oxalivorans Zaitsev et al. (ATCC 700648),$550.00,$467.50,unavailable,"DSM 11537 [HAMBI 2284, RAOx-FS]",1,freeze-dried,ATCC  2103: OM2 medium,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Metabolizes oxalateBiotechnology
Janibacter sp. (ATCC 700638),$550.00,$467.50,unavailable,NAG-2N-113,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 20.0Celsius Atmosphere: Aerobic,unavailable,"Degrades 1-methylnaphthaleneDegrades 2,6-dimethylnaphthaleneDegrades 2-methylnaphthaleneDegrades naphthaleneDegrades phenanthreneProduces polycyclic aromatic hydrocarbon dioxygenase"
Thiorhodospira sibirica Bryantseva et al. (ATCC 700588),$550.00,$467.50,unavailable,A12,1,frozen,ATCC  2116: Thiorhodospira sibinca medium,Temperature: 26.0Celsius Atmosphere: Anaerobic under light,unavailable,Biotechnology
Rhodoferax antarcticus Madigan et al. (ATCC 700587),$550.00,$467.50,unavailable,ANT.BR,1,frozen,ATCC  2113: Rhodopseudomonas medium with yeast extract,Temperature: 22.0Celsius Atmosphere: Anaerobic under light,unavailable,Biotechnology
Thermococcus zilligii Ronimus et al. (ATCC 700529),$550.00,$467.50,unavailable,"DSM 2770 [AN1, ANI, JCM 10554, TG 57]",1,freeze-dried,ATCC  2094: AN 1 medium,Temperature: 75.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Hyperthermus butylicus Zillig et al. (ATCC 700455),$550.00,$467.50,unavailable,DSMZ 5456,1,frozen,unavailable,unavailable,unavailable,unavailable
Desulfofustis glycolicus Friedrich et al. (ATCC 700454),$550.00,$467.50,unavailable,DSMZ 9705 [PerGlyS],1,unavailable,ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl,Temperature: 26.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Thermus oshimai Williams et al. (ATCC 700435),$550.00,$467.50,unavailable,NCIMB 13400 [SPS17],1,unavailable,ATCC  461: Castenholz TYE medium,Temperature: 55.0Celsius,unavailable,Genomic analysisBiotechnology
Bogoriella caseilytica Groth et al. (ATCC 700413),$550.00,$467.50,unavailable,HKI 0088 [DSM 11294],1,unavailable,"ATCC  2075:  ""A"" for Alkaliphiles",Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Polaribacter filamentus Gosink et al. (ATCC 700397),$550.00,$467.50,unavailable,215,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 4.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
