Pseudomonas aeruginosa bacteriophage Lindberg 31 (ATCC BAA-81-B2),$550.00,$467.50,unavailable,HER-5 [31Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Pseudomonas aeruginosa bacteriophage Lindberg 24 (ATCC BAA-79-B1),$550.00,$467.50,unavailable,HER-4 [24Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Pseudomonas aeruginosa bacteriophage Lindberg M4 (ATCC BAA-30-B1),$550.00,$467.50,unavailable,HER-16 [M4 Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Pseudomonas aeruginosa bacteriophage Lindberg M7 (ATCC BAA-29-B1),$550.00,$467.50,unavailable,HER-9 [F7Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Pseudomonas aeruginosa bacteriophage Lindberg F8 (ATCC BAA-28-B1),$550.00,$467.50,unavailable,HER-10 [F8Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Pseudomonas aeruginosa bacteriophage Lindberg 7 (ATCC BAA-26-B1),$550.00,$467.50,unavailable,HER-1 [7Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius,unavailable,unavailable
Salmonella enterica subsp. enterica bacteriophage Chi (ATCC 9842-B1),$550.00,$467.50,unavailable,Chi,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Salmonella enterica subsp. enterica serovar Typhimurium bacteriophage P22 strain R34 (ATCC 97541),$550.00,$467.50,unavailable,r34,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37.0Celsius,unavailable,Potential bacteremia therapeutic agentThis is one of six bacteriophage strains deposited at the ATCC (97537-97539 are lambda strains and 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias.
Escherichia coli bacteriophage Lambda Argo1 (ATCC 97539),$550.00,$467.50,unavailable,Argo1,1,frozen,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Potential bacteremia therapeutic agent
This is one of six bacteriophage strains deposited at the ATCC (ATCC 97537-97539 are lambda strains and ATCC 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias."
Escherichia coli bacteriophage Lambda Argo2 (ATCC 97538),$550.00,$467.50,unavailable,Argo2,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Potential bacteremia therapeutic agent
This is one of six bacteriophage strains deposited at the ATCC (ATCC 97537-97539 are lambda strains and ATCC 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias."
Escherichia coli bacteriophage Lambda W60 (ATCC 97537),$402.00,$341.70,unavailable,LambdaW60 [W60],1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Potential bacteremia therapeutic agent
This is one of six bacteriophage strains deposited at the ATCC (ATCC 97537-97539 are lambda strains and ATCC 97540-97542 are P22 strains) that remain in the mouse circulatory system for long periods of time. They are potential therapeutic agents for bacteremias."
Delftia acidovorans bacteriophage phi W-14 (ATCC 9355-B1),$550.00,$467.50,unavailable,Phi W-14,1,freeze-dried,ATCC  1211: CAAM-Tris,"Temperature: 30Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,Induces hydroxymethyldeoxyuridine triphosphate production in hostCharacterization
Escherichia coli bacteriophage C36 (ATCC 8677-B1),$550.00,$467.50,unavailable,C36,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Clostridium sporogenes bacteriophage F1 (ATCC 8074-B1),$550.00,$467.50,unavailable,F1,1,unavailable,unavailable,unavailable,unavailable,unavailable
Bacillus cereus bacteriophage NRS 201 (ATCC 7064-B1),$550.00,$467.50,unavailable,NRS 201,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Bacillus megaterium bacteriophage 239 (ATCC 7056-B1),$550.00,$467.50,unavailable,239,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Bacillus pumilus bacteriophage 236 (ATCC 6631-B1),$550.00,$467.50,unavailable,236,1,frozen,unavailable,unavailable,unavailable,unavailable
Mycobacterium smegmatis bacteriophage Mc-4 (ATCC 607-B7),$550.00,$467.50,unavailable,Mc-4,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Mycobacterium smegmatis bacteriophage Mc-2 (ATCC 607-B6),$550.00,$467.50,unavailable,Mc-2,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
